frame,objeto detectado,confianza,id,x_center_norm,y_center_norm
1,Stop,0.76,1,0.604059,0.542901
2,Stop,0.67,1,0.609847,0.542146
3,Stop,0.75,1,0.622124,0.540871
5,Stop,0.97,,0.656021,0.537417
6,Stop,0.97,2,0.656017,0.537417
7,Speed Limit 50,0.13,,0.605904,0.541272
8,Stop,0.98,2,0.667307,0.535822
9,Stop,0.97,2,0.681047,0.533699
10,Speed Limit 50,0.17,,0.404781,0.53336
10,Speed Limit 10,0.12,,0.403916,0.532378
10,Speed Limit 20,0.11,,0.404645,0.532306
10,Speed Limit 50,0.11,,0.609202,0.540396
11,Stop,0.97,2,0.701248,0.531991
12,Speed Limit 10,0.18,,0.390703,0.529321
13,Stop,0.96,2,0.723117,0.527792
14,Stop,0.96,2,0.726995,0.526951
15,Speed Limit 50,0.18,,0.354598,0.523574
16,Stop,1.0,2,0.75032,0.523754
17,Stop,1.0,2,0.776713,0.517998
18,Stop,1.0,,0.821766,0.510976
19,Stop,1.0,2,0.817038,0.511596
20,Speed Limit 110,0.15,,0.265216,0.506132
20,Speed Limit 50,0.15,,0.265368,0.506143
20,Speed Limit 80,0.15,,0.264982,0.505882
20,Speed Limit 30,0.14,,0.265628,0.506047
20,Speed Limit 20,0.13,,0.614887,0.532952
21,Stop,0.98,,0.868383,0.498099
22,Stop,0.98,2,0.866206,0.50005
23,Speed Limit 20,0.2,,0.617132,0.530306
23,Speed Limit 120,0.19,,0.219874,0.49552
23,Speed Limit 110,0.19,,0.219771,0.49533
24,Stop,0.18,,0.922475,0.486331
24,Speed Limit 50,0.12,,0.399276,0.539356
25,Speed Limit 50,0.18,,0.39244,0.53883
26,Speed Limit 20,0.3,,0.619712,0.528146
26,Speed Limit 110,0.24,,0.164579,0.481301
26,Speed Limit 20,0.2,,0.164911,0.481377
26,Speed Limit 50,0.16,,0.165081,0.481201
26,Speed Limit 20,0.12,,0.335013,0.532309
27,Speed Limit 50,0.17,,0.392199,0.538718
29,Speed Limit 50,0.25,,0.629286,0.526026
29,Speed Limit 80,0.19,,0.103202,0.463244
29,Speed Limit 110,0.18,,0.318862,0.529123
29,Speed Limit 50,0.16,,0.10341,0.463514
32,Speed Limit 20,0.22,,0.655977,0.51847
32,Speed Limit 50,0.22,,0.656064,0.517865
32,Speed Limit 50,0.21,,0.28563,0.523938
33,Speed Limit 50,0.19,,0.362684,0.534107
34,Speed Limit 20,0.31,,0.677019,0.512012
34,Speed Limit 50,0.3,,0.266129,0.520581
36,Speed Limit 20,0.32,,0.70567,0.504122
36,Speed Limit 30,0.24,,0.705461,0.504349
36,Speed Limit 50,0.22,,0.245316,0.516692
36,Speed Limit 50,0.21,,0.705364,0.504612
36,Speed Limit 20,0.2,,0.542108,0.534977
37,Speed Limit 30,0.27,,0.743803,0.494547
37,Speed Limit 50,0.21,,0.743435,0.493903
37,Speed Limit 20,0.21,,0.545764,0.532585
37,Speed Limit 50,0.19,,0.220664,0.511709
38,Speed Limit 50,0.19,,0.338875,0.529272
39,Speed Limit 50,0.26,,0.194759,0.506273
39,Speed Limit 20,0.25,,0.796578,0.479603
39,Speed Limit 30,0.21,,0.553598,0.530187
39,Speed Limit 50,0.19,,0.795933,0.479375
39,Speed Limit 10,0.17,,0.194492,0.505974
39,Speed Limit 50,0.11,,0.304064,0.532175
40,Speed Limit 50,0.38,,0.5729,0.524409
40,Speed Limit 30,0.25,,0.572909,0.524489
40,Speed Limit 50,0.24,,0.12959,0.490541
40,Speed Limit 110,0.15,,0.285332,0.528624
41,Speed Limit 20,0.25,,0.288303,0.518925
41,Speed Limit 50,0.16,,0.288154,0.518545
42,Speed Limit 50,0.27,,0.263914,0.513471
43,Speed Limit 50,0.27,,0.263933,0.513566
44,Speed Limit 50,0.24,,0.58685,0.520819
44,Speed Limit 30,0.23,,0.586965,0.521164
44,Speed Limit 50,0.21,,0.092208,0.480593
44,Speed Limit 20,0.19,,0.273399,0.526533
44,Speed Limit 110,0.15,,0.09196,0.480546
45,Speed Limit 50,0.37,,0.235161,0.508181
45,Speed Limit 20,0.29,,0.235263,0.50818
46,Speed Limit 30,0.42,,0.630417,0.507238
46,Speed Limit 50,0.38,,0.630479,0.507388
46,Speed Limit 20,0.2,,0.251331,0.521432
47,Speed Limit 50,0.28,,0.200934,0.500157
48,Speed Limit 20,0.36,,0.159344,0.489441
48,Red Light,0.17,,0.15987,0.489632
49,Speed Limit 20,0.34,19,0.159035,0.48903
50,Speed Limit 30,0.41,,0.665231,0.496874
50,Speed Limit 50,0.26,,0.237766,0.518932
50,Speed Limit 50,0.17,,0.664357,0.496528
51,Speed Limit 20,0.13,,0.110908,0.477846
52,Speed Limit 30,0.33,,0.715887,0.479258
52,Speed Limit 70,0.24,,0.715679,0.479569
52,Speed Limit 110,0.19,,0.22311,0.515123
52,Speed Limit 110,0.16,,0.715465,0.479319
52,Speed Limit 50,0.15,,0.222996,0.515101
53,Speed Limit 30,0.25,,0.787951,0.454293
53,Speed Limit 50,0.25,,0.206403,0.510878
53,Speed Limit 110,0.15,,0.206628,0.51095
53,Speed Limit 70,0.14,,0.787054,0.454535
53,Speed Limit 110,0.14,,0.787561,0.455124
53,Speed Limit 30,0.12,,0.527713,0.537876
53,Speed Limit 50,0.12,,0.528055,0.538033
54,Speed Limit 50,0.24,,0.163528,0.50107
54,Speed Limit 50,0.22,,0.550464,0.534634
55,Speed Limit 20,0.23,,0.099798,0.485198
55,Speed Limit 50,0.19,,0.571663,0.530133
56,Speed Limit 50,0.2,,0.595933,0.523744
56,Speed Limit 40,0.19,,0.595756,0.523371
57,Speed Limit 30,0.34,,0.60963,0.519935
57,Speed Limit 50,0.24,,0.609459,0.519185
58,Speed Limit 30,0.42,,0.627132,0.513618
58,Speed Limit 50,0.33,,0.627017,0.513878
59,Speed Limit 30,0.48,,0.64892,0.505332
59,Speed Limit 50,0.34,,0.648846,0.505584
59,Speed Limit 110,0.16,,0.313249,0.529493
60,Speed Limit 40,0.64,,0.679906,0.495084
60,Speed Limit 30,0.49,,0.679129,0.49521
60,Speed Limit 110,0.26,,0.298419,0.526938
62,Speed Limit 80,0.5,,0.723065,0.478421
62,Speed Limit 30,0.43,,0.723298,0.478033
62,Speed Limit 50,0.22,,0.723405,0.478266
62,Speed Limit 110,0.21,,0.283329,0.523549
62,Speed Limit 50,0.14,,0.283312,0.523184
63,Speed Limit 50,0.36,,0.78912,0.453159
63,Speed Limit 30,0.29,,0.789305,0.452649
63,Speed Limit 20,0.18,,0.265141,0.521027
63,Speed Limit 50,0.12,,0.265398,0.520819
65,Speed Limit 120,0.57,,0.88595,0.411648
65,Speed Limit 50,0.22,,0.24394,0.51627
65,Speed Limit 110,0.19,,0.561968,0.534356
69,Speed Limit 50,0.27,,0.158992,0.499549
69,Speed Limit 50,0.21,,0.581429,0.526799
70,Speed Limit 50,0.33,,0.591691,0.524195
70,Speed Limit 110,0.22,,0.122362,0.490649
70,Speed Limit 20,0.17,,0.122415,0.490519
73,Speed Limit 30,0.38,,0.637293,0.508548
73,Speed Limit 50,0.21,,0.637557,0.508634
73,Speed Limit 40,0.19,,0.63744,0.509137
75,Speed Limit 40,0.54,,0.662886,0.499783
75,Speed Limit 30,0.42,,0.662751,0.499987
75,Speed Limit 110,0.12,,0.662376,0.499915
76,Speed Limit 30,0.45,,0.700927,0.484426
77,Speed Limit 40,0.4,,0.756823,0.463519
77,Speed Limit 70,0.27,,0.756371,0.463999
77,Speed Limit 110,0.24,,0.756774,0.463975
77,Speed Limit 30,0.22,,0.757274,0.463417
81,Green Light,0.23,,0.411415,0.454282
82,Speed Limit 110,0.19,,0.534271,0.532041
83,Green Light,0.29,,0.399401,0.45029
84,Speed Limit 80,0.14,,0.503347,0.526383
86,Speed Limit 80,0.17,,0.468004,0.524727
87,Speed Limit 80,0.32,,0.41622,0.519204
87,Speed Limit 20,0.13,,0.85717,0.516478
88,Speed Limit 80,0.34,,0.260538,0.496109
88,Speed Limit 90,0.14,,0.261213,0.497446
89,Speed Limit 80,0.45,,0.188958,0.479967
89,Speed Limit 20,0.14,,0.773424,0.526014
89,Speed Limit 90,0.12,,0.188889,0.480147
90,Green Light,0.2,,0.353933,0.430647
92,Green Light,0.54,,0.370333,0.416434
92,Green Light,0.14,,0.367234,0.416433
93,Green Light,0.54,48,0.370436,0.41647
94,Green Light,0.56,48,0.369322,0.413307
95,Green Light,0.31,,0.363683,0.40655
95,Speed Limit 50,0.25,,0.568547,0.547393
95,Green Light,0.2,,0.357933,0.407683
96,Green Light,0.31,,0.363758,0.406575
96,Speed Limit 50,0.24,,0.568565,0.547431
96,Green Light,0.2,,0.358168,0.40768
98,Green Light,0.49,,0.352455,0.396428
98,Green Light,0.15,,0.340282,0.396042
99,Green Light,0.2,,0.33596,0.389832
99,Green Light,0.16,,0.348315,0.389186
100,Speed Limit 20,0.12,,0.401335,0.536104
101,Red Light,0.13,,0.32043,0.36685
101,Green Light,0.11,,0.320101,0.369045
102,Speed Limit 110,0.15,,0.383606,0.530901
102,Speed Limit 110,0.11,,0.69967,0.536706
103,Green Light,0.47,,0.314536,0.356525
104,Green Light,0.27,,0.300476,0.350849
105,Green Light,0.33,,0.295161,0.338574
106,Speed Limit 80,0.38,,0.346732,0.52301
107,Green Light,0.26,,0.295623,0.338623
108,Speed Limit 80,0.23,,0.327637,0.518508
108,Speed Limit 110,0.15,,0.327546,0.517959
109,Speed Limit 50,0.24,,0.305413,0.512923
109,Speed Limit 80,0.16,,0.305837,0.512392
110,Green Light,0.26,,0.27587,0.310813
111,Speed Limit 120,0.33,,0.276126,0.505614
111,Speed Limit 80,0.24,,0.276211,0.505733
111,Speed Limit 90,0.13,,0.275596,0.507315
112,Green Light,0.24,,0.251695,0.282473
112,Green Light,0.14,,0.278314,0.280264
116,Green Light,0.16,,0.654071,0.534383
117,Speed Limit 50,0.12,,0.243222,0.531431
119,Speed Limit 110,0.14,,0.400628,0.534425
121,Speed Limit 50,0.16,,0.392185,0.532843
123,Speed Limit 110,0.15,,0.383866,0.531516
125,Speed Limit 50,0.16,,0.372671,0.52951
127,Speed Limit 80,0.47,,0.34556,0.522417
129,Speed Limit 80,0.21,,0.326423,0.517888
129,Speed Limit 110,0.13,,0.326045,0.517756
130,Speed Limit 120,0.44,,0.27362,0.50354
130,Speed Limit 80,0.26,,0.273595,0.503544
130,Speed Limit 90,0.15,,0.27373,0.504233
130,Speed Limit 20,0.11,,0.756953,0.529033
131,Speed Limit 120,0.32,,0.235279,0.494186
131,Speed Limit 80,0.22,,0.235404,0.494705
132,Speed Limit 120,0.36,,0.185168,0.479863
132,Speed Limit 80,0.23,,0.186239,0.47929
132,Speed Limit 110,0.19,,0.186057,0.479346
132,Speed Limit 50,0.11,,0.786763,0.523882
132,Speed Limit 90,0.11,,0.186312,0.479467
133,Speed Limit 110,0.18,,0.388408,0.532276
134,Speed Limit 110,0.23,,0.366775,0.527849
134,Speed Limit 80,0.13,,0.36695,0.527523
137,Speed Limit 80,0.23,,0.352875,0.525283
137,Speed Limit 110,0.17,,0.352987,0.524511
138,Speed Limit 80,0.25,,0.336468,0.519832
139,Speed Limit 50,0.4,,0.314436,0.514701
139,Speed Limit 30,0.14,,0.31495,0.513524
140,Speed Limit 80,0.24,,0.288528,0.508023
140,Speed Limit 50,0.23,,0.288354,0.508441
141,Speed Limit 80,0.41,,0.255635,0.498682
142,Speed Limit 80,0.46,,0.21288,0.487031
143,Green Light,0.27,,0.302271,0.34041
143,Green Light,0.11,,0.307096,0.340573
144,Speed Limit 80,0.29,,0.157802,0.47028
144,Speed Limit 90,0.13,,0.157641,0.470099
151,Speed Limit 50,0.23,,0.378992,0.534319
151,Speed Limit 90,0.16,,0.378907,0.535321
152,Speed Limit 50,0.11,,0.624124,0.540604
155,Speed Limit 110,0.2,,0.340974,0.525633
155,Speed Limit 50,0.2,,0.341373,0.525725
158,Speed Limit 50,0.13,,0.589249,0.544912
159,Speed Limit 50,0.22,,0.309253,0.516776
159,Speed Limit 80,0.21,,0.309204,0.516504
160,Speed Limit 50,0.31,,0.288244,0.511271
160,Speed Limit 90,0.17,,0.288545,0.510975
161,Speed Limit 80,0.27,,0.260225,0.502857
161,Speed Limit 90,0.2,,0.260149,0.503373
162,Speed Limit 80,0.44,,0.180596,0.480067
162,Speed Limit 90,0.25,,0.180506,0.480604
163,Speed Limit 50,0.24,,0.748111,0.520621
163,Speed Limit 20,0.16,,0.748177,0.51983
163,Speed Limit 50,0.12,,0.608031,0.543044
164,Speed Limit 80,0.51,,0.123179,0.463616
164,Speed Limit 120,0.14,,0.124389,0.462341
165,Speed Limit 50,0.22,,0.762887,0.515674
166,Speed Limit 80,0.27,,0.762621,0.513799
166,Speed Limit 50,0.12,,0.564401,0.542204
167,Speed Limit 50,0.34,,0.761551,0.510723
168,Speed Limit 50,0.4,,0.763367,0.507846
168,Speed Limit 30,0.34,,0.762905,0.507801
168,Speed Limit 50,0.22,,0.513095,0.541735
169,Speed Limit 50,0.34,,0.778858,0.49771
169,Speed Limit 30,0.24,,0.778647,0.497285
169,Speed Limit 50,0.13,,0.456628,0.539298
170,Speed Limit 30,0.35,,0.794471,0.489601
170,Speed Limit 50,0.29,,0.794335,0.49003
171,Speed Limit 80,0.33,,0.850423,0.465488
171,Speed Limit 50,0.33,,0.851165,0.465615
171,Speed Limit 50,0.17,,0.356887,0.533205
172,Speed Limit 50,0.39,,0.317421,0.529565
172,Speed Limit 50,0.25,,0.895566,0.44708
172,Speed Limit 80,0.2,,0.894394,0.447029
173,Speed Limit 50,0.24,,0.336428,0.525131
173,Speed Limit 110,0.11,,0.933873,0.491506
174,Speed Limit 80,0.28,,0.324051,0.521199
174,Speed Limit 90,0.15,,0.324221,0.521311
174,Speed Limit 50,0.13,,0.324039,0.520586
174,Speed Limit 110,0.12,,0.325218,0.521979
175,Speed Limit 50,0.26,,0.310155,0.517876
175,Speed Limit 80,0.25,,0.310095,0.518124
175,Speed Limit 50,0.13,,0.682311,0.536197
176,Speed Limit 50,0.57,,0.227795,0.519023
177,Speed Limit 50,0.58,86,0.227796,0.519022
178,Speed Limit 80,0.22,,0.290515,0.512247
178,Speed Limit 50,0.19,,0.290677,0.512561
178,Speed Limit 90,0.13,,0.290284,0.512575
179,Speed Limit 50,0.59,,0.180829,0.508657
180,Speed Limit 80,0.35,,0.265954,0.50512
180,Speed Limit 120,0.3,,0.265975,0.504788
181,Speed Limit 50,0.31,,0.169336,0.506611
182,Speed Limit 120,0.3,,0.235101,0.496567
182,Speed Limit 80,0.2,,0.23552,0.496657
182,Green Light,0.14,,0.43446,0.470625
183,Speed Limit 50,0.34,,0.169434,0.50695
184,Speed Limit 120,0.45,,0.195195,0.484634
184,Speed Limit 80,0.35,,0.196082,0.484367
185,Speed Limit 50,0.69,,0.137051,0.497755
186,Speed Limit 80,0.25,,0.144868,0.468236
186,Speed Limit 120,0.2,,0.144213,0.468981
187,Speed Limit 50,0.33,,0.09451,0.485371
188,Speed Limit 50,0.37,,0.069071,0.476551
189,Speed Limit 80,0.2,,0.315875,0.51938
189,Green Light,0.11,,0.485335,0.443295
190,Green Light,0.21,,0.426036,0.427616
190,Speed Limit 120,0.19,,0.300428,0.513209
191,Speed Limit 120,0.34,,0.256275,0.502675
191,Red Light,0.2,,0.506421,0.431855
191,Speed Limit 80,0.19,,0.256051,0.502635
192,Speed Limit 120,0.47,,0.222659,0.49228
192,Red Light,0.21,,0.435086,0.412043
192,Speed Limit 80,0.14,,0.222682,0.492298
192,Speed Limit 110,0.13,,0.222935,0.493105
192,Green Light,0.11,,0.512836,0.42812
195,Speed Limit 120,0.31,,0.179752,0.479677
195,Green Light,0.28,,0.441998,0.40787
195,Speed Limit 80,0.23,,0.180764,0.479708
195,Speed Limit 110,0.16,,0.180804,0.479225
198,Green Light,0.51,,0.473584,0.365584
198,Speed Limit 110,0.15,,0.817174,0.517718
198,Speed Limit 80,0.11,,0.81734,0.517549
201,Green Light,0.77,,0.495631,0.332607
201,Green Light,0.69,,0.609311,0.354299
201,Speed Limit 110,0.25,,0.909702,0.499253
205,Green Light,0.19,,0.510904,0.471716
206,Green Light,0.76,,0.709657,0.260875
206,Green Light,0.69,,0.548466,0.218549
206,Green Light,0.14,,0.573295,0.45084
206,Red Light,0.13,,0.512689,0.449839
207,Red Light,0.19,,0.528446,0.470174
208,Green Light,0.65,,0.559382,0.173894
208,Green Light,0.15,,0.732126,0.230655
210,Red Light,0.32,,0.634413,0.523967
210,Red Light,0.23,,0.630403,0.451024
211,Speed Limit 50,0.14,,0.668295,0.513657
213,Speed Limit 50,0.11,,0.712192,0.504246
214,Speed Limit 50,0.37,,0.763221,0.494547
214,Red Light,0.15,,0.689129,0.43534
215,Speed Limit 50,0.37,109,0.763237,0.494545
216,Red Light,0.33,,0.709408,0.430695
216,Speed Limit 50,0.32,,0.828559,0.477144
217,Speed Limit 80,0.71,,0.947887,0.435576
217,Speed Limit 90,0.23,,0.946724,0.436082
218,Speed Limit 80,0.71,112,0.947889,0.435576
220,Red Light,0.16,,0.627295,0.419824
221,Red Light,0.25,,0.605511,0.417262
221,Red Light,0.23,,0.528561,0.427126
222,Red Light,0.47,,0.558815,0.409668
222,Red Light,0.29,,0.557123,0.411102
222,Speed Limit 60,0.26,,0.485175,0.538753
223,Red Light,0.46,113,0.558757,0.409679
223,Red Light,0.32,114,0.55714,0.411089
224,Speed Limit 60,0.14,,0.453698,0.537811
225,Red Light,0.64,,0.537401,0.473043
225,Red Light,0.41,,0.670241,0.47971
226,Red Light,0.29,,0.509527,0.39947
226,Red Light,0.17,,0.424585,0.409364
226,Speed Limit 60,0.17,,0.420012,0.537086
226,Speed Limit 60,0.11,,0.424598,0.533746
227,Red Light,0.62,119,0.482207,0.392654
228,Speed Limit 60,0.41,,0.347522,0.528349
228,Red Light,0.25,,0.360845,0.392515
228,Red Light,0.21,,0.389691,0.392231
228,Speed Limit 90,0.11,,0.347104,0.530746
229,Red Light,0.65,119,0.43488,0.376286
230,Speed Limit 60,0.37,,0.295622,0.51984
230,Red Light,0.32,,0.433224,0.367583
230,Red Light,0.11,,0.33612,0.376529
